Condition,Number,Price
NYOP,1,1
NYOP,1,1
NYOP,1,0.01
NYOP,1,0.1
NYOP,1,0.01
NYOP,2,0.02
NYOP,1,5
NYOP,1,1
NYOP,2,0.02
NYOP,1,0.05
NYOP,1,0.75
NYOP,1,1.5
NYOP,1,0.2
NYOP,1,0.01
NYOP,1,1
NYOP,1,0.01
NYOP,1,0.25
NYOP,1,2
NYOP,2,2
NYOP,2,2
NYOP,1,1
NYOP,1,0.93
NYOP,3,0.03
NYOP,1,0.93
NYOP,1,0.35
NYOP,1,10
NYOP,1,1
NYOP,1,0.01
NYOP,1,5
NYOP,1,0.93
NYOP,1,0.5
NYOP,1,1
NYOP,1,0.01
NYOP,1,0.93
NYOP,1,1
NYOP,1,1
NYOP,1,0.05
NYOP,1,1
NYOP,1,0.25
NYOP,1,1
NYOP,1,5
NYOP,1,2
NYOP,1,0.22
NYOP,2,0.2
NYOP,1,0.09
NYOP,1,0.1
NYOP,1,1
NYOP,1,2
NYOP,1,1
NYOP,1,0.01
NYOP,2,0.02
NYOP,2,0.02
NYOP,1,3
NYOP,1,1.86
NYOP,3,0.03
NYOP,1,0.93
NYOP,1,0
NYOP,1,5
NYOP,2,2
NYOP,2,1
NYOP,1,0.11
NYOP,1,0.9
NYOP,1,1
NYOP,1,0.93
NYOP,1,1
NYOP,1,5
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,0.01
NYOP,3,2.79
NYOP,1,1
NYOP,1,0.01
NYOP,2,2
NYOP,1,0.5
NYOP,4,4
NYOP,1,1
NYOP,1,1
NYOP,2,2
NYOP,1,1
NYOP,1,0.01
NYOP,3,0.75
NYOP,1,0.25
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,0.01
NYOP,2,0.02
NYOP,4,0.04
NYOP,2,0.5
NYOP,2,2
NYOP,1,3
NYOP,1,0.01
NYOP,2,2
NYOP,3,3
NYOP,1,0.5
NYOP,2,0.46
NYOP,1,2
NYOP,1,0.01
NYOP,1,0.93
NYOP,1,1
NYOP,2,0.02
NYOP,1,3
NYOP,1,0.01
NYOP,1,0.35
NYOP,1,2
NYOP,1,10
NYOP,3,0.03
NYOP,5,5
NYOP,1,0.93
NYOP,2,0.02
NYOP,1,0.01
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,1
NYOP,3,3.75
NYOP,1,1
NYOP,2,0.02
NYOP,1,2
NYOP,1,0.01
NYOP,1,0.01
NYOP,1,0.09
NYOP,1,0.01
NYOP,4,2
NYOP,1,0.01
NYOP,3,2.79
NYOP,2,2
NYOP,4,1
NYOP,1,0.01
NYOP,1,1
NYOP,1,0.93
NYOP,1,1
NYOP,1,1
NYOP,1,1
NYOP,1,0.93
NYOP,1,1
NYOP,1,5
NYOP,1,5
NYOP,2,2
NYOP,1,0.93
NYOP,1,1
NYOP,1,1
NYOP,1,0
NYOP,4,10
NYOP,1,0.1
NYOP,1,0.1
NYOP,1,0.01
NYOP,2,1.86
NYOP,1,0.01
NYOP,1,0.93
NYOP,1,0.25
NYOP,1,1
NYOP,2,0.46
NYOP,2,0.5
NYOP,1,0.5
NYOP,1,1
NYOP,2,0.9
NYOP,1,1
NYOP,1,1
NYOP,2,5
NYOP,1,5
NYOP,1,1
NYOP,1,1
NYOP,1,1
NYOP,1,0.25
NYOP,1,0.25
NYOP,1,1
NYOP,1,1
NYOP,1,1
NYOP,1,1
NYOP,1,1
NYOP,2,2
NYOP,1,5
NYOP,4,2
NYOP,1,1
NYOP,1,0.01
NYOP,1,0.25
NYOP,1,0.05
NYOP,1,3
NYOP,2,5
NYOP,3,0.03
NYOP,1,5
NYOP,2,2
NYOP,1,1
NYOP,1,1
NYOP,2,10
NYOP,1,0
NYOP,1,5
NYOP,1,7
NYOP,1,1
NYOP,1,4.69
NYOP,2,1
NYOP,1,0.93
NYOP,2,2
NYOP,4,0.04
NYOP,1,1.87
NYOP,1,3
NYOP,1,1
NYOP,2,1
NYOP,1,0.15
NYOP,1,0.9
NYOP,1,2
NYOP,2,0.02
NYOP,1,0.93
NYOP,1,0.01
NYOP,1,0.93
NYOP,1,1
NYOP,1,2
NYOP,1,0.1
NYOP,1,1
NYOP,1,1
NYOP,1,1
NYOP,1,2
NYOP,1,0.93
NYOP,1,1
NYOP,1,0.02
NYOP,2,0.86
NYOP,1,0.93
NYOP,1,0.5
NYOP,1,0.01
NYOP,4,1
NYOP,1,2
NYOP,1,2
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,1
NYOP,2,2
NYOP,1,1
NYOP,1,1.87
NYOP,3,0.03
NYOP,2,0.02
NYOP,2,1.86
NYOP,2,1.86
NYOP,1,0.01
NYOP,3,0.99
NYOP,3,0.03
NYOP,1,0.01
NYOP,1,0.01
NYOP,1,1
NYOP,2,0.02
NYOP,1,5
NYOP,2,0.86
NYOP,3,1.5
NYOP,1,1
NYOP,2,0.9
NYOP,2,1.86
NYOP,1,1
NYOP,1,0.93
NYOP,2,0.5
NYOP,1,0.25
NYOP,2,8
NYOP,3,0.03
NYOP,3,0.75
NYOP,1,0.25
NYOP,1,0.5
NYOP,2,0.44
NYOP,1,1
NYOP,2,0.1
NYOP,2,1
NYOP,1,0.5
NYOP,2,1
NYOP,5,0.05
NYOP,2,0.1
NYOP,4,0.2
NYOP,1,0.01
NYOP,2,2
NYOP,1,0.25
NYOP,1,0.05
NYOP,1,0.01
NYOP,2,0.2
NYOP,2,2
NYOP,2,4
NYOP,2,0.9
NYOP,1,0.01
NYOP,1,3
NYOP,1,0.93
NYOP,2,0.02
NYOP,1,0.1
NYOP,3,4.5
NYOP,5,0.2
NYOP,3,0
NYOP,1,0.01
NYOP,2,2
NYOP,4,0.6
NYOP,1,0.5
NYOP,1,0.01
NYOP,1,0.25
NYOP,1,1.11
NYOP,3,0.03
NYOP,1,0.68
NYOP,2,0.02
NYOP,3,0.03
NYOP,1,0.5
NYOP,1,1
NYOP,1,3
NYOP,1,0.93
NYOP,6,0.06
NYOP,4,1
NYOP,3,6
NYOP,1,0.93
NYOP,1,1
NYOP,1,1
NYOP,1,0.01
NYOP,1,1
NYOP,1,0.05
NYOP,1,0.01
NYOP,1,0.25
NYOP,1,1
NYOP,1,0.25
NYOP,2,1
NYOP,1,0.01
NYOP,1,0.93
NYOP,1,0.01
NYOP,1,5
NYOP,1,1
NYOP,1,1
NYOP,1,5
NYOP,1,0.01
NYOP,2,1
NYOP,1,0.93
NYOP,3,3
NYOP,1,0.01
NYOP,1,1
NYOP,2,2
NYOP,2,1
NYOP,1,0.05
NYOP,1,0.5
NYOP,1,0.25
NYOP,2,9.38
NYOP,1,2
NYOP,1,0.01
NYOP,2,2
NYOP,2,1.5
NYOP,1,3
NYOP,1,5
NYOP,1,5
NYOP,1,2
NYOP,1,5
NYOP,2,2
NYOP,1,1
NYOP,2,1
NYOP,3,3
NYOP,1,0.1
NYOP,2,0.1
NYOP,1,0.01
NYOP,1,0.01
NYOP,1,0.23
NYOP,1,1
NYOP,1,0.58
NYOP,1,2
NYOP,3,6
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,2.5
NYOP,1,0.01
NYOP,1,2
NYOP,6,6
NYOP,2,0.02
NYOP,1,1
NYOP,2,3
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,0.01
NYOP,2,0.9
NYOP,2,2
NYOP,4,0.08
NYOP,1,2
NYOP,1,0.01
NYOP,1,1
NYOP,1,2
NYOP,1,0.5
NYOP,3,3
NYOP,4,0.04
NYOP,1,0.09
NYOP,1,0.47
NYOP,1,1
NYOP,1,1
NYOP,2,2
NYOP,2,2
NYOP,1,1
NYOP,4,2
NYOP,1,0.22
NYOP,6,0.9
NYOP,1,1
NYOP,1,0.25
NYOP,2,0.5
NYOP,1,5
NYOP,2,0.02
NYOP,1,2
NYOP,2,0.02
NYOP,1,2
NYOP,1,0.23
NYOP,2,2
NYOP,2,4
NYOP,1,0
NYOP,2,1.5
NYOP,2,2
NYOP,1,1
NYOP,1,1
NYOP,1,1
NYOP,2,2
NYOP,2,1
NYOP,3,0.03
NYOP,2,1.86
NYOP,1,0.01
NYOP,1,0.01
NYOP,1,0.01
NYOP,2,0.94
NYOP,2,1
NYOP,1,2
NYOP,2,0.5
NYOP,2,1
NYOP,1,0.9
NYOP,3,1.5
NYOP,1,0.93
NYOP,1,0.1
NYOP,2,0
NYOP,1,0.93
NYOP,2,10
NYOP,1,0.01
NYOP,1,5
NYOP,1,0.01
NYOP,1,0.25
NYOP,2,0.1
NYOP,1,0.5
NYOP,3,0.03
NYOP,1,1
NYOP,3,0.75
NYOP,4,0.04
NYOP,1,0.2
NYOP,1,1.5
NYOP,1,0.25
NYOP,1,0.18
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,0.25
NYOP,1,0.25
NYOP,1,0.01
NYOP,2,1
NYOP,2,0.1
NYOP,2,0.5
NYOP,2,0.02
NYOP,1,0.01
NYOP,1,0.01
NYOP,1,0.05
NYOP,1,1
NYOP,2,1
NYOP,1,5
NYOP,1,1
NYOP,1,0.93
NYOP,1,1
NYOP,1,1
NYOP,1,1
NYOP,1,10
NYOP,1,5
NYOP,1,0.93
NYOP,1,1
NYOP,1,0.01
NYOP,1,2
NYOP,1,2
NYOP,1,2
NYOP,1,0.01
NYOP,1,0.93
NYOP,1,5
NYOP,2,1
NYOP,1,3
NYOP,1,0.2
NYOP,1,4
NYOP,1,0.25
NYOP,4,3.72
NYOP,1,1
NYOP,1,0.01
NYOP,1,0.5
NYOP,2,1
NYOP,1,2
NYOP,1,0.93
NYOP,1,4.67
NYOP,1,0.93
NYOP,1,5
NYOP,1,0.4
NYOP,1,0.53
NYOP,1,5
NYOP,1,2
NYOP,1,2
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,5
NYOP,1,0.93
NYOP,1,4.69
NYOP,1,0.01
NYOP,2,5
NYOP,1,0.01
NYOP,1,4.69
NYOP,1,3
NYOP,1,0.93
NYOP,1,1
NYOP,1,1
NYOP,1,0.93
NYOP,1,1
NYOP,4,0.2
NYOP,4,1
NYOP,1,1
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,2
NYOP,1,5
NYOP,1,0.93
NYOP,2,5
NYOP,2,1
NYOP,2,0.5
NYOP,1,1
NYOP,2,10
NYOP,1,1
NYOP,4,4
NYOP,2,0.02
NYOP,1,0.93
NYOP,1,1.87
NYOP,1,0.01
NYOP,2,2
NYOP,1,1
NYOP,1,0.09
NYOP,1,0.01
NYOP,1,0.1
NYOP,2,0.02
NYOP,1,1
NYOP,1,5
NYOP,1,3
NYOP,1,3
NYOP,1,0.36
NYOP,1,2
NYOP,1,0.01
NYOP,1,0.01
NYOP,1,0.25
NYOP,2,2
NYOP,1,0.46
NYOP,1,0.47
NYOP,2,2
NYOP,1,1
NYOP,1,0.01
NYOP,2,2
NYOP,1,0.93
NYOP,1,5
NYOP,1,1
NYOP,3,0.03
NYOP,1,0.01
NYOP,1,5
NYOP,1,4.69
NYOP,1,5
NYOP,1,2
NYOP,1,0.46
NYOP,1,1
NYOP,5,5
NYOP,2,0.9
NYOP,3,2.25
NYOP,1,5
NYOP,1,1
NYOP,1,1
NYOP,1,1
NYOP,2,2
NYOP,1,0.05
NYOP,1,0.5
NYOP,1,0.93
NYOP,1,1
NYOP,1,0.2
NYOP,1,0.01
NYOP,2,0.5
NYOP,1,5
NYOP,1,2
NYOP,1,0
NYOP,1,0.01
NYOP,1,1
NYOP,2,2
NYOP,1,1
NYOP,2,1.86
NYOP,1,2
NYOP,2,2
NYOP,1,0.93
NYOP,2,1.86
NYOP,1,0.93
NYOP,2,1
NYOP,2,1
NYOP,1,1
NYOP,1,0.01
NYOP,1,0.45
NYOP,1,0.47
NYOP,1,0.01
NYOP,3,2.79
NYOP,2,2
NYOP,1,1
NYOP,1,0.25
NYOP,1,1
NYOP,1,1
NYOP,3,3
NYOP,1,1
NYOP,1,0.8
NYOP,1,1
NYOP,1,1
NYOP,1,5
NYOP,2,0.5
NYOP,1,0.23
NYOP,1,0.05
NYOP,2,0.02
NYOP,1,0.01
NYOP,2,2
NYOP,1,0.01
NYOP,1,1
NYOP,1,1
NYOP,1,1
NYOP,1,0.93
NYOP,1,1
NYOP,1,0.5
NYOP,1,1
NYOP,3,3
NYOP,2,1
NYOP,2,2
NYOP,1,0.01
NYOP,2,1
NYOP,1,1
NYOP,1,1
NYOP,1,0.93
NYOP,1,1
NYOP,3,0.15
NYOP,1,1
NYOP,6,0.06
NYOP,3,0.99
NYOP,4,1
NYOP,1,2
NYOP,1,2
NYOP,1,1
NYOP,2,1
NYOP,1,0.25
NYOP,1,0.25
NYOP,1,3
NYOP,1,1
NYOP,1,1
NYOP,1,1
NYOP,2,0.02
NYOP,1,1
NYOP,4,4
NYOP,1,1
NYOP,1,0.01
NYOP,1,1
NYOP,2,1
NYOP,1,0.93
NYOP,1,1
NYOP,2,1
NYOP,5,1
NYOP,1,0.5
NYOP,1,0.01
NYOP,1,2
NYOP,2,2
NYOP,2,0.02
NYOP,1,5
NYOP,2,2
NYOP,1,0.01
NYOP,1,1
NYOP,1,5
NYOP,3,3
NYOP,2,1.8
NYOP,1,5
NYOP,1,1
NYOP,1,0.25
NYOP,1,0.25
NYOP,1,0.25
NYOP,3,3
NYOP,2,0.5
NYOP,1,0.93
NYOP,1,0.5
NYOP,1,0.01
NYOP,1,0.93
NYOP,1,1
NYOP,1,0.01
NYOP,1,1
NYOP,2,0.02
NYOP,1,0.01
NYOP,1,0.01
NYOP,3,0.03
NYOP,1,0.34
NYOP,2,1
NYOP,2,1
NYOP,1,1
NYOP,3,0.03
NYOP,3,0.03
NYOP,2,0.02
NYOP,2,0.02
NYOP,1,0.98
NYOP,1,2
NYOP,2,0.02
NYOP,3,1.5
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,0.01
NYOP,3,0.03
NYOP,1,1
NYOP,2,0.02
NYOP,2,0.24
NYOP,2,1
NYOP,1,1
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,1
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,3
NYOP,2,0.92
NYOP,1,0.01
NYOP,1,0.01
NYOP,2,0.5
NYOP,1,5
NYOP,3,0.03
NYOP,1,0.75
NYOP,2,0.02
NYOP,1,0.25
NYOP,1,0.25
NYOP,1,1
NYOP,1,0.93
NYOP,2,1.86
NYOP,1,2
NYOP,1,1
NYOP,1,0.15
NYOP,2,0.02
NYOP,2,0.02
NYOP,1,0.5
NYOP,4,0.08
NYOP,1,0.01
NYOP,1,0.01
NYOP,1,0.29
NYOP,2,0.5
NYOP,1,0.01
NYOP,2,0.5
NYOP,3,0.15
NYOP,4,1
NYOP,2,2
NYOP,1,0.93
NYOP,1,0.25
NYOP,1,0.01
NYOP,1,0.5
NYOP,2,0.04
NYOP,2,0.5
NYOP,1,1
NYOP,1,1.94
NYOP,1,0.01
NYOP,1,0.01
NYOP,1,0.23
NYOP,3,0.75
NYOP,1,0.01
NYOP,1,0
NYOP,1,0.01
NYOP,1,0
NYOP,2,1
NYOP,1,2
NYOP,1,0.25
NYOP,1,0.22
NYOP,3,4.5
NYOP,1,0.25
NYOP,1,0.1
NYOP,1,0.01
NYOP,1,0.01
NYOP,2,0.2
NYOP,1,0.5
NYOP,1,0.56
NYOP,1,0.01
NYOP,1,0.5
NYOP,1,0.01
NYOP,1,0.93
NYOP,1,0.2
NYOP,1,2
NYOP,2,0.5
NYOP,3,3
NYOP,1,0.5
NYOP,1,0.25
NYOP,1,0.5
NYOP,2,0.02
NYOP,3,3
NYOP,1,1
NYOP,1,1
NYOP,1,2
NYOP,1,4.69
NYOP,1,0.01
NYOP,1,0.05
NYOP,1,0.06
NYOP,1,10
NYOP,1,0.93
NYOP,1,0.01
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,2
NYOP,1,2.8
NYOP,1,0.01
NYOP,1,1.87
NYOP,1,5
NYOP,1,0.93
NYOP,2,2
NYOP,3,0.75
NYOP,1,0.01
NYOP,1,2
NYOP,2,0.5
NYOP,1,1.07
NYOP,2,5
NYOP,1,0.93
NYOP,1,0.93
NYOP,2,2
NYOP,1,0.25
NYOP,1,1
NYOP,1,1
NYOP,2,1.86
NYOP,1,0.93
NYOP,1,1
NYOP,1,1
NYOP,1,2
NYOP,1,1.87
NYOP,1,1
NYOP,1,0.12
NYOP,1,0.13
NYOP,1,0.7
NYOP,2,0.02
NYOP,2,1.5
NYOP,1,0.5
NYOP,4,2
NYOP,1,1
NYOP,1,1
NYOP,3,3
NYOP,1,1
NYOP,3,0.45
NYOP,2,1
NYOP,1,2
NYOP,2,2
NYOP,1,0.01
NYOP,1,0.99
NYOP,1,0.23
NYOP,1,1
NYOP,1,5
NYOP,2,2
NYOP,1,1
NYOP,1,1
NYOP,2,0.94
NYOP,1,1
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,1
NYOP,2,2
NYOP,2,2
NYOP,1,0.23
NYOP,1,2.81
NYOP,1,2.81
NYOP,1,1
NYOP,2,2
NYOP,1,2
NYOP,1,1
NYOP,1,1
NYOP,2,10
NYOP,1,1
NYOP,1,5
NYOP,1,0.01
NYOP,1,0.93
NYOP,3,3
NYOP,1,3
NYOP,1,0.01
NYOP,2,2
NYOP,5,1.25
NYOP,3,0.03
NYOP,2,1
NYOP,1,2
NYOP,2,1
NYOP,1,0.12
NYOP,1,0.13
NYOP,1,4.69
NYOP,3,1.98
NYOP,2,1
NYOP,4,4
NYOP,1,4.69
NYOP,1,0.93
NYOP,1,0.5
NYOP,3,0.96
NYOP,1,1
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,0.46
NYOP,1,4.69
NYOP,1,5
NYOP,1,0.25
NYOP,1,0.1
NYOP,1,3
NYOP,1,1
NYOP,1,0.01
NYOP,3,0.93
NYOP,1,0.99
NYOP,1,0.93
NYOP,2,0.1
NYOP,1,0.25
NYOP,1,0.93
NYOP,1,0.94
NYOP,1,2
NYOP,1,1
NYOP,1,1
NYOP,1,0.25
NYOP,1,2.78
NYOP,1,0.5
NYOP,1,1
NYOP,1,1
NYOP,1,4.69
NYOP,1,4.7
NYOP,1,1.87
NYOP,2,2
NYOP,1,10
NYOP,1,1
NYOP,1,1
NYOP,1,1
NYOP,1,0.45
NYOP,1,1
NYOP,1,5
NYOP,1,0.93
NYOP,1,0.94
NYOP,2,2
NYOP,1,1
NYOP,1,3
NYOP,1,0.01
NYOP,1,1
NYOP,1,0.05
NYOP,2,1
NYOP,1,1
NYOP,1,0.1
NYOP,1,0.25
NYOP,1,0.59
NYOP,1,0.25
NYOP,1,0.25
NYOP,1,0.25
NYOP,1,8.99
NYOP,2,0.1
NYOP,1,5
NYOP,1,1
NYOP,1,0.93
NYOP,1,1.87
NYOP,1,5
NYOP,2,2
NYOP,1,1
NYOP,1,1
NYOP,1,2
NYOP,4,4
NYOP,4,4
NYOP,2,2
NYOP,1,1
NYOP,1,0.93
NYOP,2,2
NYOP,1,0.93
NYOP,1,4.69
NYOP,2,0.5
NYOP,2,0.5
NYOP,1,0.5
NYOP,1,0
NYOP,1,0.93
NYOP,1,1
NYOP,2,2
NYOP,2,0.02
NYOP,1,0.93
NYOP,1,0.02
NYOP,1,0.05
NYOP,1,1
NYOP,1,2
NYOP,1,0.02
NYOP,2,1
NYOP,1,0.93
NYOP,2,1.86
NYOP,2,4
NYOP,1,2
NYOP,1,1
NYOP,1,0
NYOP,3,0.75
NYOP,2,0.5
NYOP,1,0.93
NYOP,1,0.1
NYOP,1,2
NYOP,1,0.93
NYOP,2,0.34
NYOP,1,0.01
NYOP,1,1.87
NYOP,1,0.41
NYOP,1,0.93
NYOP,1,1
NYOP,1,1
NYOP,3,0.48
NYOP,2,2
NYOP,1,0.93
NYOP,1,1
NYOP,1,1.87
NYOP,2,2
NYOP,1,2
NYOP,1,0.56
NYOP,1,0.05
NYOP,1,0.01
NYOP,1,2
NYOP,1,0.01
NYOP,3,1.89
NYOP,1,1.87
NYOP,2,1.86
NYOP,5,0.05
NYOP,4,0.04
NYOP,1,0.01
NYOP,1,0.93
NYOP,1,0.17
NYOP,1,1.87
NYOP,1,3
NYOP,1,0.02
NYOP,1,0.03
NYOP,1,2.81
NYOP,1,1.87
NYOP,1,3.65
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,0.23
NYOP,5,0.2
NYOP,1,2
NYOP,1,1.87
NYOP,2,1.86
NYOP,1,0.93
NYOP,2,3.74
NYOP,1,1
NYOP,1,1
NYOP,1,2.81
NYOP,1,5.99
NYOP,1,1
NYOP,1,0.1
NYOP,1,1
NYOP,4,0.32
NYOP,1,0.26
NYOP,1,1
NYOP,2,0.04
NYOP,1,2
NYOP,2,0.46
NYOP,1,0.47
NYOP,2,2
NYOP,1,1
NYOP,4,1.88
NYOP,1,0.01
NYOP,1,0.93
NYOP,1,0.68
NYOP,1,0.01
NYOP,1,4.69
NYOP,1,0.93
NYOP,1,4.69
NYOP,1,0.93
NYOP,2,1.86
NYOP,2,0.92
NYOP,1,0.25
NYOP,1,0.93
NYOP,1,0.46
NYOP,1,0.93
NYOP,1,0.23
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,9.39
NYOP,3,2.79
NYOP,1,0.01
NYOP,1,1
NYOP,1,0.45
NYOP,2,9.04
NYOP,1,1
NYOP,2,1
NYOP,1,1
NYOP,4,1
NYOP,1,0.02
NYOP,1,1
NYOP,1,2
NYOP,1,1
NYOP,1,5
NYOP,1,0.93
NYOP,1,1
NYOP,1,1
NYOP,1,1.87
NYOP,1,0.05
NYOP,1,0.01
NYOP,1,0.01
NYOP,1,0.01
NYOP,1,0.93
NYOP,2,0.5
NYOP,5,4.65
NYOP,1,2
NYOP,1,0.01
NYOP,3,0.09
NYOP,4,1
NYOP,1,0.93
NYOP,2,0.94
NYOP,1,4.69
NYOP,1,2
NYOP,1,2
NYOP,2,2
NYOP,1,0.46
NYOP,1,0.93
NYOP,1,1
NYOP,1,0.25
NYOP,2,8
NYOP,1,1
NYOP,1,1
NYOP,1,0
NYOP,1,1
NYOP,1,1
NYOP,1,0.01
NYOP,1,2
NYOP,1,1
NYOP,2,2
NYOP,1,0.25
NYOP,2,0.5
NYOP,1,1
NYOP,1,0.25
NYOP,1,2
NYOP,2,0.02
NYOP,1,1
NYOP,1,0.93
NYOP,2,1
NYOP,1,0.93
NYOP,2,2
NYOP,1,2
NYOP,2,4
NYOP,1,0.93
NYOP,2,10
NYOP,1,5
NYOP,2,3
NYOP,1,2
NYOP,1,0.93
NYOP,1,1
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,0.47
NYOP,1,0.93
NYOP,1,2.17
NYOP,1,1.87
NYOP,1,0.05
NYOP,2,2
NYOP,2,0.02
NYOP,1,0.01
NYOP,1,0.05
NYOP,2,0.02
NYOP,3,0.21
NYOP,2,2
NYOP,2,1.86
NYOP,2,0.02
NYOP,1,1
NYOP,1,0.01
NYOP,1,4.69
NYOP,1,1.87
NYOP,2,3.74
NYOP,1,0.23
NYOP,1,0.93
NYOP,1,0.93
NYOP,4,0.04
NYOP,2,1.86
NYOP,1,0.5
NYOP,5,1.15
NYOP,1,0.93
NYOP,2,2.8
NYOP,1,0.85
NYOP,2,0.04
NYOP,2,0.46
NYOP,1,0.93
NYOP,1,4.69
NYOP,1,0.47
NYOP,1,0.93
NYOP,4,0.04
NYOP,2,0.02
NYOP,2,0.04
NYOP,2,5
NYOP,2,1.86
NYOP,2,2
NYOP,1,0.93
NYOP,1,1
NYOP,1,0.93
NYOP,1,2.81
NYOP,2,0.5
NYOP,1,0.01
NYOP,1,4.69
NYOP,2,1.86
NYOP,1,0.01
NYOP,2,2.16
NYOP,2,2
NYOP,1,0.01
NYOP,1,0.93
NYOP,1,2
NYOP,1,0.93
NYOP,2,1.86
NYOP,2,3.74
NYOP,1,1.87
NYOP,1,0.23
NYOP,1,0.23
NYOP,4,1
NYOP,1,0.25
NYOP,2,0.92
NYOP,1,0.05
NYOP,1,0.1
NYOP,1,0.23
NYOP,2,2
NYOP,1,1
NYOP,2,1.86
NYOP,1,2
NYOP,1,1
NYOP,4,4
NYOP,1,1
NYOP,1,0.93
NYOP,1,1
NYOP,1,4.69
NYOP,1,0.01
NYOP,2,1
NYOP,2,3.74
NYOP,2,0.3
NYOP,2,1
NYOP,1,5
NYOP,1,1
NYOP,1,1
NYOP,1,0.23
NYOP,1,0.93
NYOP,2,2
NYOP,4,2
NYOP,2,0.02
NYOP,1,0.01
NYOP,2,1
NYOP,1,0.93
NYOP,2,1
NYOP,2,1.86
NYOP,3,0.03
NYOP,2,0.1
NYOP,1,0.93
NYOP,1,0.5
NYOP,1,2
NYOP,1,0.05
NYOP,1,0.1
NYOP,1,0.1
NYOP,4,2
NYOP,1,0.93
NYOP,2,0.94
NYOP,1,0.93
NYOP,2,4.68
NYOP,5,4.5
NYOP,2,1.86
NYOP,1,0.93
NYOP,1,1
NYOP,1,1.87
NYOP,1,0.05
NYOP,2,1
NYOP,1,0.01
NYOP,2,1.86
NYOP,2,1.5
NYOP,1,1.87
NYOP,1,0.23
NYOP,1,1.87
NYOP,1,1.86
NYOP,1,0.23
NYOP,2,0.2
NYOP,1,1.87
NYOP,1,1.87
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,1.19
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,0.93
NYOP,4,1
NYOP,1,0.93
NYOP,1,4.69
NYOP,2,0.44
NYOP,1,0.01
NYOP,1,0.93
NYOP,1,0.01
NYOP,2,0.94
NYOP,1,0.04
NYOP,1,0.06
NYOP,1,0.47
NYOP,1,0.48
NYOP,1,2.81
NYOP,2,0.18
NYOP,1,0.45
NYOP,1,0.46
NYOP,1,0.01
NYOP,1,1
NYOP,1,1
NYOP,1,0.01
NYOP,1,0.01
NYOP,1,0.93
NYOP,1,0.95
NYOP,1,0.93
NYOP,1,3
NYOP,1,0.75
NYOP,1,0.09
NYOP,1,0.93
NYOP,2,0.02
NYOP,1,2.33
NYOP,1,2.37
NYOP,2,9.38
NYOP,1,1.87
NYOP,2,1.86
NYOP,1,0.03
NYOP,1,0.05
NYOP,2,0.02
NYOP,2,0.02
NYOP,3,3
NYOP,2,1.86
NYOP,1,0.93
NYOP,1,4.69
NYOP,1,0.47
NYOP,1,0.48
NYOP,7,6.51
NYOP,1,2.37
NYOP,2,1.86
NYOP,1,0.23
NYOP,1,0.23
NYOP,2,0.48
NYOP,1,0.93
NYOP,1,0.93
NYOP,1,0.01
NYOP,1,0.01
NYOP,2,1.86
NYOP,2,1.86
NYOP,1,0.01
NYOP,1,1
NYOP,1,0.93
NYOP,4,0.92
NYOP,1,0.93
NYOP,1,3.74
NYOP,4,3.72
NYOP,3,0.12
NYOP,3,5.61
NYOP,1,0.93
NYOP,1,0.47
NYOP,2,1.86
NYOP,2,0.2
NYOP,3,0.06
NYOP,1,1.87
NYOP,2,0.24
NYOP,2,1.86
NYOP,2,0.1
NYOP,1,0.09
NYOP,1,0.1
NYOP,2,0.04
NYOP,1,0.45
NYOP,1,0.47
NYOP,1,0.15
NYOP,2,1.86
NYOP,2,0.24
NYOP,4,0.4
NYOP,1,0.01
NYOP,4,0.52
NYOP,1,4.69
NYOP,1,0.93
NYOP,1,0.01
NYOP,3,0.96
NYOP,1,0.93
NYOP,1,0.05
NYOP,1,0.24
NYOP,1,0.93
NYOP,1,0.24
NYOP,1,0.23
NYOP,1,0.24
NYOP,1,0.01
NYOP,2,0.1
NYOP,1,0.23
NYOP,1,1
NYOP,5,0.25
NYOP,3,0.99
NYOP,1,1
NYOP,1,0
NYOP,1,0.01
